Timestamp,WKA,Pe
2015-01-05 00:00:00,4.5,22.34
2015-01-05 01:00:00,3.5,17.93
2015-01-05 02:00:00,4.9,15.17
2015-01-05 03:00:00,6.2,16.38
2015-01-05 04:00:00,6.6,17.38
2015-01-05 05:00:00,7.1,16.38
2015-01-05 06:00:00,6.9,26.61
2015-01-05 07:00:00,7.6,37.63
2015-01-05 08:00:00,7.9,39.09
2015-01-05 09:00:00,8.0,41.51
2015-01-05 10:00:00,8.1,40.46
2015-01-05 11:00:00,7.2,40.97
2015-01-05 12:00:00,8.5,40.72
2015-01-05 13:00:00,8.7,41.92
2015-01-05 14:00:00,8.3,42.0
2015-01-05 15:00:00,7.9,43.1
2015-01-05 16:00:00,7.2,46.7
2015-01-05 17:00:00,6.0,56.78
2015-01-05 18:00:00,5.3,58.84
2015-01-05 19:00:00,5.2,49.23
2015-01-05 20:00:00,3.8,44.32
2015-01-05 21:00:00,3.5,40.0
2015-01-05 22:00:00,2.8,35.08
2015-01-05 23:00:00,3.2,30.03
2015-01-06 00:00:00,2.9,30.02
2015-01-06 01:00:00,2.7,30.57
2015-01-06 02:00:00,1.8,30.25
2015-01-06 03:00:00,1.8,30.29
2015-01-06 04:00:00,1.8,30.63
2015-01-06 05:00:00,1.0,29.64
2015-01-06 06:00:00,1.2,29.67
2015-01-06 07:00:00,1.5,38.82
2015-01-06 08:00:00,1.4,40.76
2015-01-06 09:00:00,1.5,40.02
2015-01-06 10:00:00,2.6,33.99
2015-01-06 11:00:00,2.2,31.22
2015-01-06 12:00:00,3.3,30.06
2015-01-06 13:00:00,3.1,29.99
2015-01-06 14:00:00,3.7,30.73
2015-01-06 15:00:00,3.3,37.38
2015-01-06 16:00:00,3.2,40.32
2015-01-06 17:00:00,3.5,45.96
2015-01-06 18:00:00,3.9,45.71
2015-01-06 19:00:00,3.7,39.57
2015-01-06 20:00:00,4.2,32.92
2015-01-06 21:00:00,4.0,29.15
2015-01-06 22:00:00,3.8,28.46
2015-01-06 23:00:00,3.8,26.97
2015-01-07 00:00:00,3.2,24.97
2015-01-07 01:00:00,3.0,24.65
2015-01-07 02:00:00,3.4,24.68
2015-01-07 03:00:00,3.4,25.06
2015-01-07 04:00:00,3.5,26.1
2015-01-07 05:00:00,3.3,26.95
2015-01-07 06:00:00,3.3,31.43
2015-01-07 07:00:00,2.9,45.98
2015-01-07 08:00:00,2.1,47.91
2015-01-07 09:00:00,2.1,48.91
2015-01-07 10:00:00,3.1,50.0
2015-01-07 11:00:00,3.4,51.22
2015-01-07 12:00:00,3.7,50.15
2015-01-07 13:00:00,4.3,51.46
2015-01-07 14:00:00,4.5,50.88
2015-01-07 15:00:00,4.4,48.0
2015-01-07 16:00:00,3.8,47.14
2015-01-07 17:00:00,3.8,51.07
2015-01-07 18:00:00,3.1,47.42
2015-01-07 19:00:00,4.1,44.83
2015-01-07 20:00:00,4.0,33.86
2015-01-07 21:00:00,4.1,27.42
2015-01-07 22:00:00,4.1,27.02
2015-01-07 23:00:00,3.5,22.11
2015-01-08 00:00:00,4.1,21.92
2015-01-08 01:00:00,4.5,19.35
2015-01-08 02:00:00,3.3,16.11
2015-01-08 03:00:00,2.5,14.93
2015-01-08 04:00:00,2.5,15.0
2015-01-08 05:00:00,2.5,19.04
2015-01-08 06:00:00,2.4,26.17
2015-01-08 07:00:00,2.2,38.34
2015-01-08 08:00:00,2.0,37.7
2015-01-08 09:00:00,2.2,32.99
2015-01-08 10:00:00,3.9,31.95
2015-01-08 11:00:00,3.0,33.59
2015-01-08 12:00:00,4.3,34.37
2015-01-08 13:00:00,4.1,35.08
2015-01-08 14:00:00,3.1,34.45
2015-01-08 15:00:00,3.3,38.12
