schedule,run,cumulative_reward,total_cost
constant,1,9.007067779612507,-9.007067779612507
constant,2,8.973295215426038,-8.973295215426038
constant,3,9.029689258786648,-9.029689258786648
constant,4,8.97031922381306,-8.97031922381306
constant,5,8.97436840110913,-8.97436840110913
constant,6,8.949465000196206,-8.949465000196206
constant,7,9.005529539123202,-9.005529539123202
constant,8,9.018359432232195,-9.018359432232195
constant,9,8.967191358770714,-8.967191358770714
constant,10,9.040201219649706,-9.040201219649706
constant,11,9.02199206002429,-9.02199206002429
constant,12,9.019152077776548,-9.019152077776548
constant,13,8.993764511412628,-8.993764511412628
constant,14,9.003101613100945,-9.003101613100945
constant,15,8.942473996479176,-8.942473996479176
constant,16,9.009280471682054,-9.009280471682054
constant,17,8.884799254365374,-8.884799254365374
constant,18,8.996586710571725,-8.996586710571725
constant,19,9.045289753197963,-9.045289753197963
constant,20,8.98132901626137,-8.98132901626137
constant,21,8.935563863093677,-8.935563863093677
constant,22,8.988725780782541,-8.988725780782541
constant,23,8.983065434142132,-8.983065434142132
constant,24,9.003534982656834,-9.003534982656834
constant,25,8.984872804445216,-8.984872804445216
constant,26,8.97149270375106,-8.97149270375106
constant,27,8.999863596299914,-8.999863596299914
constant,28,8.97259335429358,-8.97259335429358
constant,29,9.021340110486378,-9.021340110486378
constant,30,8.971927981067699,-8.971927981067699
constant,31,8.995578558291424,-8.995578558291424
constant,32,8.988150940300665,-8.988150940300665
linear,1,8.988106999460403,-8.988106999460403
linear,2,9.025130175470244,-9.025130175470244
linear,3,9.036068110797048,-9.036068110797048
linear,4,8.983545736099256,-8.983545736099256
linear,5,9.029081561965802,-9.029081561965802
linear,6,9.00903147449819,-9.00903147449819
linear,7,8.956022702507525,-8.956022702507525
linear,8,9.01862095021825,-9.01862095021825
linear,9,9.012165206643918,-9.012165206643918
linear,10,8.980107858983683,-8.980107858983683
linear,11,8.980840544420913,-8.980840544420913
linear,12,8.984494750107554,-8.984494750107554
linear,13,9.026591760730177,-9.026591760730177
linear,14,9.006573602579607,-9.006573602579607
linear,15,8.992216619559237,-8.992216619559237
linear,16,9.008761287073582,-9.008761287073582
linear,17,8.981802388289417,-8.981802388289417
linear,18,9.013589373373652,-9.013589373373652
linear,19,9.004671263069788,-9.004671263069788
linear,20,8.961809571433788,-8.961809571433788
linear,21,8.962125076838097,-8.962125076838097
linear,22,9.02193776134866,-9.02193776134866
linear,23,9.020845691203842,-9.020845691203842
linear,24,8.999983576158401,-8.999983576158401
linear,25,9.038999960104215,-9.038999960104215
linear,26,9.004887203974478,-9.004887203974478
linear,27,8.952195049149834,-8.952195049149834
linear,28,9.013767931194717,-9.013767931194717
linear,29,8.994328800116094,-8.994328800116094
linear,30,8.905036668784522,-8.905036668784522
linear,31,8.975104344046134,-8.975104344046134
linear,32,8.989248554911008,-8.989248554911008
power,1,9.001744556043985,-9.001744556043985
power,2,8.984648186787725,-8.984648186787725
power,3,8.891433111923744,-8.891433111923744
power,4,9.004192350316492,-9.004192350316492
power,5,9.031791687905537,-9.031791687905537
power,6,8.963448847892545,-8.963448847892545
power,7,9.01596391698438,-9.01596391698438
power,8,8.980888761076294,-8.980888761076294
power,9,8.981848027473637,-8.981848027473637
power,10,9.019621245893429,-9.019621245893429
power,11,8.994125865834224,-8.994125865834224
power,12,9.002913611667658,-9.002913611667658
power,13,8.822458545169988,-8.822458545169988
power,14,8.958648611285362,-8.958648611285362
power,15,9.01376431671787,-9.01376431671787
power,16,8.962283366193812,-8.962283366193812
power,17,8.927634267605352,-8.927634267605352
power,18,8.980896007927955,-8.980896007927955
power,19,9.027351907973367,-9.027351907973367
power,20,9.012566154693143,-9.012566154693143
power,21,8.985345986593131,-8.985345986593131
power,22,8.91973798627033,-8.91973798627033
power,23,9.02911810935522,-9.02911810935522
power,24,8.9908360798282,-8.9908360798282
power,25,8.986540719437397,-8.986540719437397
power,26,8.929973072979976,-8.929973072979976
power,27,8.983007156157559,-8.983007156157559
power,28,8.973583586403858,-8.973583586403858
power,29,9.008367434041089,-9.008367434041089
power,30,9.01150268810093,-9.01150268810093
power,31,9.00810984466571,-9.00810984466571
power,32,8.98501358345181,-8.98501358345181
