run,constant,linear,power
1,-9.007067779612507,-8.988106999460403,-9.001744556043985
2,-8.973295215426038,-9.025130175470244,-8.984648186787725
3,-9.029689258786648,-9.036068110797048,-8.891433111923744
4,-8.97031922381306,-8.983545736099256,-9.004192350316492
5,-8.97436840110913,-9.029081561965802,-9.031791687905537
6,-8.949465000196206,-9.00903147449819,-8.963448847892545
7,-9.005529539123202,-8.956022702507525,-9.01596391698438
8,-9.018359432232195,-9.01862095021825,-8.980888761076294
9,-8.967191358770714,-9.012165206643918,-8.981848027473637
10,-9.040201219649706,-8.980107858983683,-9.019621245893429
11,-9.02199206002429,-8.980840544420913,-8.994125865834224
12,-9.019152077776548,-8.984494750107554,-9.002913611667658
13,-8.993764511412628,-9.026591760730177,-8.822458545169988
14,-9.003101613100945,-9.006573602579607,-8.958648611285362
15,-8.942473996479176,-8.992216619559237,-9.01376431671787
16,-9.009280471682054,-9.008761287073582,-8.962283366193812
17,-8.884799254365374,-8.981802388289417,-8.927634267605352
18,-8.996586710571725,-9.013589373373652,-8.980896007927955
19,-9.045289753197963,-9.004671263069788,-9.027351907973367
20,-8.98132901626137,-8.961809571433788,-9.012566154693143
21,-8.935563863093677,-8.962125076838097,-8.985345986593131
22,-8.988725780782541,-9.02193776134866,-8.91973798627033
23,-8.983065434142132,-9.020845691203842,-9.02911810935522
24,-9.003534982656834,-8.999983576158401,-8.9908360798282
25,-8.984872804445216,-9.038999960104215,-8.986540719437397
26,-8.97149270375106,-9.004887203974478,-8.929973072979976
27,-8.999863596299914,-8.952195049149834,-8.983007156157559
28,-8.97259335429358,-9.013767931194717,-8.973583586403858
29,-9.021340110486378,-8.994328800116094,-9.008367434041089
30,-8.971927981067699,-8.905036668784522,-9.01150268810093
31,-8.995578558291424,-8.975104344046134,-9.00810984466571
32,-8.988150940300665,-8.989248554911008,-8.98501358345181
